date,id,value
2012-01-01 00:00:01,1,69.0
2012-01-01 01:00:01,2,92.0
2012-01-01 02:00:01,3,96.0
2012-01-01 03:00:01,4,92.0
2012-01-01 04:00:01,5,91.0
2012-01-01 05:00:01,6,92.0
2012-01-01 06:00:01,7,91.0
2012-01-01 07:00:01,8,92.0
2012-01-01 08:00:01,9,91.0
2012-01-01 09:00:01,10,96.0
2012-01-01 10:00:01,11,113.0
2012-01-01 11:00:01,12,142.0
2012-01-01 12:00:01,13,158.0
2012-01-01 13:00:01,14,147.0
2012-01-01 14:00:01,15,122.0
2012-01-01 15:00:01,16,112.0
2012-01-01 16:00:01,17,109.0
2012-01-01 17:00:01,18,108.0
2012-01-01 18:00:01,19,107.0
2012-01-01 19:00:01,20,107.0
2012-01-01 20:00:01,21,113.0
2012-01-01 21:00:01,22,113.0
2012-01-01 22:00:01,23,104.0
2012-01-01 23:00:01,24,99.0
2012-01-02 00:00:01,25,95.0
2012-01-02 01:00:01,26,92.0
2012-01-02 02:00:01,27,89.0
2012-01-02 03:00:01,28,88.0
2012-01-02 04:00:01,29,90.0
2012-01-02 05:00:01,30,91.0
2012-01-02 06:00:01,31,93.0
2012-01-02 07:00:01,32,109.0
2012-01-02 08:00:01,33,117.0
2012-01-02 09:00:01,34,116.0
2012-01-02 10:00:01,35,125.0
2012-01-02 11:00:01,36,125.0
2012-01-02 12:00:01,37,125.0
2012-01-02 13:00:01,38,120.0
2012-01-02 14:00:01,39,121.0
2012-01-02 15:00:01,40,118.0
2012-01-02 16:00:01,41,111.0
2012-01-02 17:00:01,42,106.0
2012-01-02 18:00:01,43,114.0
2012-01-02 19:00:01,44,128.0
2012-01-02 20:00:01,45,135.0
2012-01-02 21:00:01,46,119.0
2012-01-02 22:00:01,47,108.0
2012-01-02 23:00:01,48,100.0
2012-01-03 00:00:01,49,95.0
2012-01-03 01:00:01,50,91.0
2012-01-03 02:00:01,51,88.0
2012-01-03 03:00:01,52,89.0
2012-01-03 04:00:01,53,89.0
2012-01-03 05:00:01,54,101.0
2012-01-03 06:00:01,55,136.0
2012-01-03 07:00:01,56,173.0
2012-01-03 08:00:01,57,169.0
